Date,Pointsbet Page Likes,Share Price
28/08/2020,45107,14.00
29/08/2020,45134,14.00
30/08/2020, 45174,14.00
31/08/2020, 45222,13.03
01/09/2020, 45278,13.200
02/09/2020, 45314,13.690
03/09/2020, 45344, 13.690
04/09/2020, 45375, 13.690
05/09/2020, 45456, 13.690
06/09/2020, 45475, 13.690
07/09/2020, 45509, 13.690
08/09/2020, 45547, 13.690
09/09/2020, 45584, 11.040
10/09/2020, 45617, 11.500
11/09/2020, 45648, 10.920
12/09/2020, 45671, 10.920
13/09/2020, 45702, 10.920
14/09/2020,45733,11.150
15/09/2020,45742,11.410
16/09/2020,45766,11.770
17/09/2020,45811,11.550
18/09/2020,45842,11.670
22/09/2020,45968,10.970
22/09/2020,45967,10.970
23/09/2020,45993,10.780
24/09/2020,46016,10.180
25/09/2020,46052,10.380
26/09/2020,46093,10.380
27/09/2020,46126,10.380
01/10/2020,46190,10.560
02/10/2020,46232,10.210
03/10/2020,46247,10.210
04/10/2020,46259,10.210
05/10/2020,46285,10.590
06/10/2020,46305,11.120
07/10/2020,46309,10.930
08/10/2020,46321,10.970
09/10/2020,46353,11.500
11/10/2020,46400,11.530
12/10/2020,46422,11.300
13/10/2020,46429,12.100
14/10/2020,46440,12.160
15/10/2020,46458,11.640
16/10/2020,46467,10.860
17/10/2020,46493,10.860
18/10/2020,46511,10.860
19/10/2020,46522,11.000
20/10/2020,46528,11.040
21/10/2020,46537,10.980
22/10/2020,46548,10.850
23/10/2020,46569,10.570
24/10/2020,46615,10.570
25/10/2020,46647,10.570
26/10/2020,46674,10.980
27/10/2020,46692,10.420
28/10/2020,46744,10.990
29/10/2020,46773,10.510
30/10/2020,46810,10.060
31/10/2020,46847,9.980
01/11/2020,46871,9.980
02/11/2020,46898,9.800
03/11/2020,46976,10.370
04/11/2020,46990,10.570
05/11/2020,47003,11.320
06/11/2020,47014,11.380
07/11/2020,47042,11.380
08/11/2020,47057,11.380
09/11/2020,47063,11.700
10/11/2020,47063,11.120
11/11/2020,47065,10.920
12/11/2020,47073,11.140
13/11/2020,47066,11.290
14/11/2020,47082,11.290
15/11/2020,47087,11.290
16/11/2020,47101,11.540
17/11/2020,47127,11.120
