Date,Teslaofficialpage Page Likes,Share Price
13/07/2021,2283,685.7
16/07/2021,2286,650.6
19/07/2021,2295,644.22
20/07/2021,2301,646.22
21/07/2021,2305,660.5
22/07/2021,2310,655.29
23/07/2021,2314,649.26
26/07/2021,2327,643.38
27/07/2021,2332,657.62
28/07/2021,2341,644.78
29/07/2021,2347,646.98
30/07/2021,2349,677.35
02/08/2021,2368,687.2
03/08/2021,2372,709.67
04/08/2021,2378,709.74
05/08/2021,2381,710.92
06/08/2021,2383,714.63
09/08/2021,2402,699.1
10/08/2021,2403,713.76
11/08/2021,2409,709.99
12/08/2021,2409,707.82
13/08/2021,2416,722.25
16/08/2021,2434,717.17
17/08/2021,2440,686.17
18/08/2021,2443,665.71
19/08/2021,2444,688.99
20/08/2021,2447,673.47
23/08/2021,2474,680.26
24/08/2021,2480,706.3
25/08/2021,2487,708.49
26/08/2021,2496,711.2
27/08/2021,2497,701.16
30/08/2021,2517,711.92
31/08/2021,2527,730.91
01/09/2021,2536,735.72
02/09/2021,2542,734.09
03/09/2021,2545,732.39
06/09/2021,2569,733.57
07/09/2021,2578,733.57
08/09/2021,2583,752.92
09/09/2021,2583,753.87
10/09/2021,2590,754.86
13/09/2021,2605,736.27
14/09/2021,2613,743.0
15/09/2021,2621,744.49
16/09/2021,2623,755.83
17/09/2021,2626,756.99
20/09/2021,2642,759.49
21/09/2021,2643,730.17
22/09/2021,2647,739.38
23/09/2021,2655,751.94
24/09/2021,2654,753.64
27/09/2021,2666,774.39
28/09/2021,2674,791.36
29/09/2021,2674,777.56
30/09/2021,2676,781.31
01/10/2021,2678,775.48
04/10/2021,2683,775.22
05/10/2021,2684,781.53
06/10/2021,2687,780.59
07/10/2021,2693,782.75
08/10/2021,2699,793.61
11/10/2021,2714,785.49
12/10/2021,2717,791.94
13/10/2021,2722,805.72
14/10/2021,2727,811.08
15/10/2021,2728,818.32
18/10/2021,2744,843.03
19/10/2021,2748,870.11
20/10/2021,2750,864.27
21/10/2021,2754,865.8
22/10/2021,2763,894.0
25/10/2021,2780,909.68
13/12/2021,3133,1017.03
14/12/2021,3145,966.41
15/12/2021,3149,958.51
16/12/2021,3157,975.99
17/12/2021,3159,926.92
20/12/2021,3172,932.57
21/12/2021,3173,899.94
22/12/2021,3179,938.53
23/12/2021,3186,1008.87
24/12/2021,3190,1067.0
27/12/2021,3216,1067.0
