Date,Afterpay.it Page Likes,Share Price
13/07/2021,220018,118.350
14/07/2021,220016,107.0
15/07/2021,220017,105.51
16/07/2021,220014,102.98
19/07/2021,220000,104.87
20/07/2021,220016,106.52
21/07/2021,220025,108.79
22/07/2021,220029,105.69
23/07/2021,220039,109.09
26/07/2021,220034,104.54
27/07/2021,220043,103.26
28/07/2021,220048,99.98
29/07/2021,220057,102.01
30/07/2021,220063,99.03
02/08/2021,220065,119.77
03/08/2021,220076,129.05
04/08/2021,220089,128.32
05/08/2021,220104,126.15
06/08/2021,220114,131.72
09/08/2021,220131,129.99
10/08/2021,220148,133.88
11/08/2021,220164,132.47
12/08/2021,220166,131.52
13/08/2021,220182,132.44
16/08/2021,220190,130.87
17/08/2021,220198,131.25
18/08/2021,220205,130.53
19/08/2021,220237,130.83
20/08/2021,220276,130.29
23/08/2021,220356,132.43
24/08/2021,220354,135.2
25/08/2021,220364,134.07
26/08/2021,220367,131.93
27/08/2021,220371,130.26
30/08/2021,220382,131.69
31/08/2021,220389,134.49
01/09/2021,220390,132.3
02/09/2021,220397,132.68
03/09/2021,220394,130.56
06/09/2021,220401,131.85
07/09/2021,220406,132.69
08/09/2021,220418,130.23
09/09/2021,220434,127.08
10/09/2021,220446,126.45
13/09/2021,220482,123.66
14/09/2021,220493,121.03
15/09/2021,220507,122.29
16/09/2021,220509,123.03
17/09/2021,220522,126.87
20/09/2021,220535,127.22
21/09/2021,220546,124.63
22/09/2021,220552,127.35
23/09/2021,220573,131.6
24/09/2021,220568,131.35
27/09/2021,220580,131.23
28/09/2021,220587,128.13
29/09/2021,220593,123.0
30/09/2021,220611,121.77
01/10/2021,220615,119.11
04/10/2021,220613,120.93
05/10/2021,220623,113.26
06/10/2021,220622,118.1
07/10/2021,220612,120.35
08/10/2021,220603,123.51
11/10/2021,220620,118.54
12/10/2021,220636,114.85
13/10/2021,220636,117.4
14/10/2021,220639,120.4
15/10/2021,220645,122.18
18/10/2021,220653,122.78
19/10/2021,220653,123.96
20/10/2021,220659,126.28
21/10/2021,220651,126.69
22/10/2021,220641,126.29
25/10/2021,220663,122.92
26/10/2021,220678,126.34
27/10/2021,220683,126.97
28/10/2021,220694,124.4
29/10/2021,220703,125.42
01/11/2021,220726,122.07
02/11/2021,220746,122.95
03/11/2021,220743,122.3
